Main division = 480
Main334:onset=170400,offset=170630notenum=71
Main335:onset=170640,offset=171830notenum=71
Main336:onset=172320,offset=172550notenum=69
Main337:onset=172560,offset=172790notenum=72
Main338:onset=172800,offset=173030notenum=72
Main339:onset=173040,offset=173270notenum=72
Main340:onset=173280,offset=173510notenum=70
Main341:onset=173520,offset=173990notenum=76
Main342:onset=174000,offset=174230notenum=72
Main343:onset=174240,offset=174710notenum=72
Main344:onset=174720,offset=175190notenum=77
Main345:onset=175200,offset=175670notenum=74
Main346:onset=175680,offset=175910notenum=79
Main347:onset=175920,offset=176150notenum=79
Main348:onset=176160,offset=176390notenum=78
Main349:onset=176400,offset=176870notenum=76
Main350:onset=176880,offset=179270notenum=76
Main351:onset=179280,offset=179510notenum=74
Main352:onset=179520,offset=179990notenum=78
Main353:onset=180480,offset=180710notenum=73
Main354:onset=180720,offset=180950notenum=73
Main355:onset=180960,offset=181430notenum=73
Main356:onset=181440,offset=181910notenum=80
Main357:onset=181920,offset=182150notenum=80
Main358:onset=182160,offset=182390notenum=80
Main359:onset=182400,offset=182870notenum=81
Main360:onset=182880,offset=183110notenum=80
Main361:onset=183120,offset=183350notenum=76
Main362:onset=183360,offset=183830notenum=80
Main363:onset=183840,offset=184070notenum=76
Main364:onset=184080,offset=184310notenum=75
Main365:onset=184320,offset=184790notenum=73
Main366:onset=184800,offset=185270notenum=85
Main367:onset=185280,offset=185750notenum=83
Main368:onset=185760,offset=186230notenum=78
Main369:onset=186240,offset=187430notenum=81
Main370:onset=188160,offset=188630notenum=78
Main371:onset=188640,offset=189110notenum=78
Main372:onset=189120,offset=189590notenum=76
Main373:onset=189600,offset=189830notenum=78
Main374:onset=189840,offset=190070notenum=81
Main375:onset=190080,offset=190550notenum=80
Main376:onset=190560,offset=190790notenum=76
Main377:onset=190800,offset=191030notenum=74
Main378:onset=191040,offset=191510notenum=71
Main379:onset=191520,offset=191750notenum=73
Main380:onset=191760,offset=191990notenum=76
Main381:onset=192000,offset=192230notenum=76
Main382:onset=192240,offset=192470notenum=76
Main383:onset=192480,offset=192710notenum=76
Main384:onset=192720,offset=192950notenum=76
Main385:onset=192960,offset=193430notenum=76
Main386:onset=193440,offset=193670notenum=78
Main387:onset=193680,offset=194630notenum=76
Main388:onset=194640,offset=194750notenum=76
Main389:onset=194760,offset=194870notenum=76
Main390:onset=194880,offset=195350notenum=74
Main391:onset=195840,offset=196070notenum=73
Main392:onset=196080,offset=196310notenum=73
Main393:onset=196320,offset=196550notenum=73
Main394:onset=196560,offset=196790notenum=73
Main395:onset=196800,offset=197270notenum=80
Main396:onset=197280,offset=197510notenum=80
Main397:onset=197520,offset=197750notenum=80
Main398:onset=197760,offset=198230notenum=81
Main399:onset=198240,offset=198470notenum=80
Main400:onset=198480,offset=198710notenum=76
